iter	Passed	Remaining
704	21868	9150
705	21922	9129
706	21946	9095
707	21982	9066
708	22014	9035
709	22043	9003
710	22071	8971
711	22102	8940
712	22128	8907
713	22155	8874
714	22193	8846
715	22269	8833
716	22373	8830
717	22437	8812
718	22458	8777
719	22477	8741
720	22497	8705
721	22518	8670
722	22538	8635
723	22559	8600
724	22581	8565
725	22600	8529
726	22619	8494
727	22639	8458
728	22662	8424
729	22684	8390
730	22704	8354
731	22724	8319
732	22744	8284
733	22763	8249
734	22784	8214
735	22802	8179
736	22822	8144
737	22845	8110
738	22866	8075
739	22885	8040
740	22905	8005
741	22926	7971
742	22945	7936
743	22967	7902
744	22986	7867
745	23004	7832
746	23024	7798
747	23044	7763
748	23063	7728
749	23084	7694
750	23102	7659
751	23121	7625
752	23143	7591
753	23162	7557
754	23186	7523
755	23205	7489
756	23224	7455
757	23245	7421
758	23264	7387
759	23285	7353
760	23307	7320
761	23327	7285
762	23347	7251
763	23370	7219
764	23390	7185
765	23412	7152
766	23431	7118
767	23453	7084
768	23472	7051
769	23495	7018
770	23516	6984
771	23535	6950
772	23555	6917
773	23575	6883
774	23595	6850
775	23618	6817
776	23636	6783
777	23656	6750
778	23675	6716
779	23693	6682
780	23717	6650
781	23737	6617
782	23757	6584
783	23776	6550
784	23798	6518
785	23818	6484
786	23837	6451
787	23859	6419
788	23880	6386
789	23899	6352
790	23919	6319
791	23937	6286
792	23956	6253
793	23978	6221
794	23997	6187
795	24017	6155
796	24052	6126
797	24077	6094
798	24095	6061
799	24117	6029
800	24137	5996
801	24158	5964
802	24177	5931
803	24197	5898
804	24219	5866
805	24249	5836
806	24278	5806
807	24309	5776
808	24336	5745
809	24366	5715
810	24393	5684
811	24415	5652
812	24442	5622
813	24462	5589
814	24481	5557
815	24500	5524
816	24519	5492
817	24540	5460
818	24559	5427
819	24577	5395
820	24597	5362
821	24618	5331
822	24638	5298
823	24657	5266
824	24679	5234
825	24699	5202
826	24719	5171
827	24739	5139
828	24759	5107
829	24779	5075
830	24799	5043
831	24819	5011
832	24839	4979
833	24858	4947
834	24877	4915
835	24898	4884
836	24919	4852
837	24941	4821
838	24963	4790
839	24982	4758
840	25002	4727
841	25020	4695
842	25039	4663
843	25058	4631
844	25079	4600
845	25100	4569
846	25120	4537
847	25139	4506
848	25163	4475
849	25185	4444
850	25209	4413
851	25228	4382
852	25247	4351
853	25268	4319
854	25302	4290
855	25334	4261
856	25359	4231
857	25383	4200
858	25402	4169
859	25423	4138
860	25444	4107
861	25464	4076
862	25486	4045
863	25509	4015
864	25531	3984
865	25553	3954
866	25574	3923
867	25595	3892
868	25614	3861
869	25638	3831
870	25656	3799
871	25676	3768
872	25696	3738
873	25715	3707
874	25738	3676
875	25761	3646
876	25782	3615
877	25803	3585
878	25826	3555
879	25849	3524
880	25869	3494
881	25889	3463
882	25907	3432
883	25927	3402
884	25953	3372
885	25975	3342
886	25999	3312
887	26020	3281
888	26042	3251
889	26068	3221
890	26088	3191
891	26110	3161
892	26133	3131
893	26156	3101
894	26177	3071
895	26199	3041
896	26220	3010
897	26239	2980
898	26259	2950
899	26280	2920
900	26299	2889
901	26317	2859
902	26338	2829
903	26358	2799
904	26379	2769
905	26400	2739
906	26418	2708
907	26437	2678
908	26457	2648
909	26478	2618
910	26497	2588
911	26517	2558
912	26535	2528
913	26553	2498
914	26574	2468
915	26594	2438
916	26616	2409
917	26635	2379
918	26655	2349
919	26675	2319
920	26695	2289
921	26714	2259
922	26732	2230
923	26752	2200
924	26772	2170
925	26792	2141
926	26812	2111
927	26831	2081
928	26850	2052
929	26869	2022
930	26889	1992
931	26909	1963
932	26927	1933
933	26948	1904
934	26970	1874
935	26989	1845
936	27009	1815
937	27026	1786
938	27045	1756
939	27066	1727
940	27087	1698
941	27108	1669
942	27125	1639
943	27148	1610
944	27167	1581
945	27185	1551
946	27206	1522
947	27226	1493
948	27247	1464
949	27267	1435
950	27287	1405
951	27306	1376
952	27329	1347
953	27349	1318
954	27369	1289
